id,council_code,council_name,regions_id,council_types_id
4,,Arusha CC,2,4
185,,Arusha DC,2,4
543,,Karatu DC,2,4
887,,Longido DC,2,4
1132,,Meru DC,2,4
1592,,Monduli DC,2,4
1915,,Ngorongoro DC,2,4
2223,,Ilala MC,2221,4
2422,,Kinondoni MC,2221,4
2526,,Ubungo MC,2221,4
2661,,Temeke MC,2221,4
2815,,Kigamboni MC,2221,4
2910,,Dodoma MC,2908,4
3233,,Bahi DC,2908,4
3871,,Chamwino DC,2908,4
4835,,Chemba DC,2908,4
5468,,Kondoa TC,2908,4
5514,,Kondoa DC,2908,4
6015,,Kongwa DC,2908,4
6512,,Mpwapwa DC,2908,4
7269,,Bukombe DC,7267,4
7716,,Chato DC,7267,4
8468,,Geita TC,7267,4
8603,,Geita DC,7267,4
9414,,Mbogwe DC,7267,4
9860,,Nyang'hwale DC,7267,4
10215,,Kilolo DC,10213,4
10838,,Iringa MC,10213,4
11052,,Iringa DC,10213,4
11966,,Mafinga TC,10213,4
12067,,Mufindi DC,10213,4
12785,,Biharamulo DC,12783,4
13262,,Bukoba MC,12783,4
13344,,Bukoba DC,12783,4
13988,,Karagwe DC,12783,4
14743,,Kyerwa DC,12783,4
15542,,Missenyi DC,12783,4
16001,,Muleba DC,12783,4
16971,,Ngara DC,12783,4
17465,,Mpanda DC,17463,4
17869,,Mpanda MC,17463,4
18018,,Nsimbo DC,17463,4
18365,,Mlele DC,17463,4
18477,,Mpimbwe DC,17463,4
18687,,Buhigwe DC,18685,4
18944,,Kakonko DC,18685,4
19364,,Kasulu DC,18685,4
19741,,Kasulu TC,18685,4
19870,,Kibondo DC,18685,4
20360,,Kigoma DC,18685,4
20708,,Kigoma/Ujiji MC,18685,4
20799,,Uvinza DC,18685,4
21209,,Hai DC,21207,4
21586,,Siha TC,21207,4
21842,,Moshi MC,21207,4
21925,,Moshi DC,21207,4
22822,,Mwanga DC,21207,4
23203,,Rombo DC,21207,4
23611,,Same DC,21207,4
24260,,Lindi MC,24258,4
24401,,Lindi DC,24258,4
25331,,Kilwa DC,24258,4
25803,,Ruangwa DC,24258,4
26354,,Liwale DC,24258,4
26806,,Nachingwea DC,24258,4
27532,,Bunda TC,27530,4
27681,,Bunda DC,27530,4
28224,,Butiama DC,27530,4
28675,,Musoma MC,27530,4
28766,,Musoma DC,27530,4
29232,,Serengeti DC,27530,4
29704,,Rorya DC,27530,4
30334,,Tarime TC,27530,4
30423,,Tarime DC,27530,4
31041,,Babati DC,31039,4
31589,,Babati TC,31039,4
31685,,Kiteto DC,31039,4
32066,,Hanang DC,31039,4
32635,,Mbulu TC,31039,4
32896,,Mbulu DC,31039,4
33358,,Simanjiro DC,31039,4
33721,,Mbeya CC,33719,4
33942,,Busokelo DC,33719,4
34252,,Chunya DC,33719,4
34552,,Kyela DC,33719,4
35079,,Mbarali DC,33719,4
35915,,Mbeya DC,33719,4
37024,,Rungwe DC,33719,4
37612,,Gairo DC,37610,4
